order_id,date,store_id,product_id,unit_price,quantity,customer_id,channel
O102466,2025-07-18,SP002,A100,35.63,2,C6558,Online
O101270,2025-06-25,SP001,A200,62.73,1,C5585,store
O100217,2025-06-04,MG001,A100,45.01,2,C5892,store
O103515,2025/08/06,SP001,C100,146.52,1,C8101,MarketPlace
O104131,2025-08-16,RJ001,B200,120.94,2,C2631,online
O100020,2025-06-01,SP002,C200,197.15,4,C6925,market_place
O101157,2025-06-22,RJ001,A200,58.77,2,C2646,on-line
O100271,2025-06-06,SP001,C200,202.41,4,C9041,market_place
O103694,2025-08-09,SP001,C200,203.03,1,C2438,ONLINE
O103091,2025-07-29,MG001,C200,208.95,2,C7627,store
O102431,2025-07-17,SP002,B200,110.68,4,C9056,online
O104894,2025-08-28,MG001,C100,151.25,1,C5924,ONLINE
O100255,2025-06-05,RJ001,C200,197.34,2,C3506,in_store
O104405,2025-08-20,MG001,B100,86.74,1,C9244,marketplace
O102035,2025-07-10,SP001,A100,35.34,6,C3955,ONLINE
O101077,2025-06-21,SP002,C100,148.21,2,C7931,IN_STORE
O104213,2025-08-17,RJ001,C200,201.64,2,C2137,ONLINE
O102833,24/07/2025,MG001,A200,64.79,4,C5233,on-line
O100543,2025-06-10,RJ001,B100,72.35,3,C3419,IN_STORE
O103636,2025-08-08,SP002,C100,145.2,3,C6060,in_store
O105018,2025-08-31,SP001,A200,59.39,3,C5569,store
O104717,2025-08-25,RJ001,C100,149.25,1,C2565,Online
O102421,2025-07-17,SP002,C100,144.26,1,C7159,online
O100033,2025-06-01,SP002,C200,179.91,1,C1916,in_store
O104420,2025-08-21,SP001,C200,218.38,2,C4796,Online
O103318,2025-08-02,MG001,B200,126.71,1,C7056,on-line
O103185,2025-07-31,RJ001,C200,181.37,1,C1305,Online
O102637,2025-07-21,SP001,B200,126.18,1,C9381,IN_STORE
O103148,2025-07-31,SP001,A100,38.42,6,C7711,market_place
O102238,2025-07-13,MG001,A100,40.49,2,C6460,online
O101708,2025-07-04,SP001,A200,63.64,3,C2252,store
O102220,2025-07-13,SP002,C100,155.61,2,C2790,on-line
O102313,2025-07-15,SP002,C100,131.58,2,C8903,online
O101544,2025-07-01,SP001,C200,193.41,2,C9504,IN_STORE
O102609,2025-07-20,RJ001,C200,205.78,2,C5673,MarketPlace
O102271,2025-07-14,SP002,B100,74.28,1,C1755,in_store
O100187,2025-06-04,SP001,A200,56.69,2,C3414,online
O100039,2025-06-01,SP002,A200,57.54,1,,store
O103428,2025-08-04,RJ001,C100,149.35,2,C7719,In-Store
O103885,2025-08-12,SP001,B200,115.66,2,C5831,marketplace
O103144,2025-07-31,SP001,B200,117.31,2,C3175,In-Store
O102737,2025-07-23,SP001,C200,220.46,1,C7494,ONLINE
O100616,2025-06-12,SP001,C200,197.21,3,C8349,IN_STORE
O103949,2025-08-13,SP002,B200,119.77,2,C7782,market_place
O103886,2025-08-12,SP001,B100,73.87,2,C1170,Online
O104602,2025-08-23,MG001,A100,41.24,2,C1392,in_store
O101841,2025-07-06,SP002,A100,39.61,4,C3924,MarketPlace
O101910,2025-07-07,SP002,A100,42.21,2,C2045,ONLINE
O104645,2025-08-24,SP002,B100,79.69,5,C3241,ONLINE
O102111,2025-07-11,MG001,A100,38.99,4,C5792,ONLINE
O104407,2025-08-20,MG001,B200,118.02,2,C2028,marketplace
O104482,2025-08-22,SP001,B100,75.15,2,,online
O100329,2025-06-07,SP001,C200,197.28,1,C1659,store
O101211,2025-06-23,MG001,B200,108.86,1,C6241,marketplace
O104397,2025-08-20,MG001,B200,127.08,1,C7960,in_store
O104281,2025-08-18,MG001,B200,119.13,3,C2659,store
O104844,2025-08-27,MG001,A100,40.18,3,C8639,IN_STORE
O100819,2025-06-15,RJ001,C200,210.74,2,C9590,marketplace
O100755,2025-06-14,MG001,B200,119.9,6,C1659,marketplace
O102461,2025-07-18,SP001,A100,40.72,2,C1415,ONLINE
O100813,2025-06-15,RJ001,A200,59.77,3,C3880,store
O104658,2025-08-24,RJ001,B100,78.72,1,C3481,in_store
O100019,2025-06-01,SP002,A100,38.94,1,C5803,market_place
O100916,2025-06-17,MG001,C200,217.2,2,C4350,MarketPlace
O101792,2025-07-05,RJ001,B200,111.14,3,,marketplace
O104838,2025-08-27,MG001,A200,56.06,2,C5368,marketplace
O104168,2025-08-17,SP001,A200,60.47,1,C3073,Online
O104015,2025-08-14,RJ001,A100,38.33,2,C7260,market_place
O104163,2025-08-17,SP001,A200,49.41,2,C1484,marketplace
O102027,2025-07-10,SP001,C100,152.26,1,C2658,on-line
O102886,2025-07-26,SP001,C200,202.04,2,C5270,Online
O102350,2025-07-15,MG001,C200,206.85,1,C3224,In-Store
O101132,2025-06-22,SP002,B200,118.13,1,C1011,In-Store
O103495,2025-08-05,RJ001,B100,79.91,2,C4372,on-line
O105078,2025-08-31,MG001,C200,207.99,1,C3530,In-Store
O104369,2025-08-20,SP002,C100,154.36,1,C5760,Online
O102692,22/07/2025,SP001,A100,41.3,3,C1284,Online
O100193,2025-06-04,SP001,A200,55.72,1,C1090,market_place
O101740,2025-07-04,MG001,C100,157.52,2,C8207,on-line
O104685,2025-08-25,SP001,C100,147.21,2,C5286,In-Store
O100836,2025-06-15,MG001,C200,206.47,3,C2017,ONLINE
O101461,2025-06-29,SP001,A100,39.23,4,C3250,ONLINE
O103764,2025-08-10,SP002,C100,148.9,1,C3761,store
O100492,2025-06-09,RJ001,C200,206.74,1,C5712,on-line
O102607,2025-07-20,RJ001,B100,83.2,5,C8469,In-Store
O101078,2025-06-21,SP002,A200,57.66,4,C9804,store
O102733,2025-07-23,SP001,C100,165.99,1,C5761,in_store
O102360,2025/07/16,SP001,A100,39.38,1,C8917,Online
O103482,2025-08-05,SP002,C100,154.25,1,C1217,market_place
O103263,2025-08-02,SP001,A100,41.11,1,C8075,In-Store
O100276,2025-06-06,SP001,B200,129.72,1,C9698,market_place
O103234,2025-08-01,RJ001,B100,82.66,1,C4734,marketplace
O103933,2025-08-13,SP001,A200,59.33,3,C9691,in_store
O100714,2025-06-14,SP001,C100,149.03,3,C1464,online
O103456,2025-08-05,SP001,A200,59.48,2,C1262,Online
O101571,2025-07-01,RJ001,A100,37.28,1,C6818,store
O100611,2025-06-12,SP001,A200,61.89,2,C2337,store
O102010,2025-07-09,MG001,A100,37.24,1,C9572,online
O102935,2025-07-26,RJ001,A100,39.6,1,C5263,in_store
O100431,2025-06-08,RJ001,C100,143.15,2,C2035,online
O101729,2025-07-04,RJ001,B200,127.14,2,C1760,IN_STORE
O100343,2025-06-07,SP002,B200,129.99,1,C4073,online
O101922,2025-07-07,MG001,B200,106.33,1,C9835,Online
O101847,06/07/2025,SP002,B100,84.49,2,C4755,on-line
O104430,2025-08-21,SP002,C200,201.85,2,C7187,in_store
O101980,2025-07-09,SP001,B100,86.21,1,C5075,on-line
O101180,2025-06-23,SP001,A100,41.52,1,C9791,marketplace
O100733,2025-06-14,SP002,C100,156.61,2,C5067,In-Store
O103960,2025-08-13,SP002,A200,57.82,4,C1976,on-line
O101376,2025-06-27,SP001,C100,146.56,3,C6238,IN_STORE
O101690,2025-07-03,MG001,C200,207.16,3,C8982,MarketPlace
O103168,2025-07-31,SP002,A100,39.25,2,C9876,Online
O103761,2025-08-10,SP001,C200,201.44,1,C6653,market_place
O101257,2025-06-24,MG001,A200,52.0,1,C1195,on-line
O103792,2025-08-10,RJ001,A200,61.7,8,C8110,IN_STORE
O101008,2025/06/19,MG001,B100,89.45,1,C7483,online
O104119,2025-08-16,SP002,C200,199.3,4,C6036,in_store
O102218,2025-07-13,SP002,B100,85.53,2,C7779,market_place
O103486,2025-08-05,SP002,A100,36.0,1,C7136,Online
O102061,2025-07-10,MG001,A100,38.6,4,C7251,market_place
O102510,2025-07-19,SP001,B200,109.83,4,C3617,Online
O102019,2025-07-10,SP001,C100,146.94,1,C2161,MarketPlace
O100722,2025-06-14,SP002,C200,176.92,1,C3589,ONLINE
